Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
AMT_PAID_ON_CREDIT_STDEV,89,75,128,65,38,68,57,202,90.25
MAX_DRAWINGS_IN_MONTH,27,32,52,23,20,20,27,71,34.0
AVG_DRAWINGS_PER_MONTH,52,37,52,26,12,27,24,67,37.125
TOTAL_NUM_ALL_DRAWINGS,40,45,38,19,24,30,41,66,37.875
MIN_MONTHLY_DRAWING_AMT,28,1,8,6,2,11,11,15,10.25
MAX_MONTHLY_DRAWING_AMT,53,47,46,52,14,42,40,53,43.375
AVG_MONTHLY_DRAWING_AMT,40,33,83,22,23,26,34,59,40.0
TOTAL_AMT_ALL_DRAWINGS,56,54,114,44,38,27,26,55,51.75
MIN_DRAW_TO_TOTAL_PAY,58,52,61,62,51,57,44,27,51.5
MAX_DRAW_TO_TOTAL_PAY,27,84,91,89,24,73,52,84,65.5
AVG_DRAW_TO_TOTAL_PAY,66,60,63,65,79,34,31,51,56.125
AVG_AMT_ATM_DRAWINGS,71,67,64,65,58,72,68,63,66.0
TOTAL_AMT_ATM_DRAWINGS,75,57,105,43,33,56,50,55,59.25
STD_AMT_ATM_DRAWINGS,36,56,78,61,35,27,31,112,54.5
AVG_NUM_ATM_DRAWINGS,125,90,119,60,100,96,96,144,103.75
TOTAL_NUM_ATM_DRAWINGS,37,108,103,52,33,35,55,71,61.75
STD_NUM_ATM_DRAWINGS,56,99,106,93,65,66,71,93,81.125
AVG_AMT_POS_DRAWINGS,22,37,33,35,18,8,49,44,30.75
TOTAL_AMT_POS_DRAWINGS,38,51,48,21,24,20,11,64,34.625
STD_AMT_POS_DRAWINGS,31,31,109,41,54,48,35,89,54.75
AVG_NUM_POS_DRAWINGS,40,20,42,11,13,13,7,49,24.375
TOTAL_NUM_POS_DRAWINGS,5,12,15,25,6,31,0,13,13.375
STD_NUM_POS_DRAWINGS,22,34,54,29,20,17,32,66,34.25
AVG_AMT_OTHER_DRAWINGS,10,18,3,5,4,2,6,9,7.125
TOTAL_AMT_OTHER_DRAWINGS,10,37,50,25,13,17,14,41,25.875
STD_AMT_OTHER_DRAWINGS,12,27,16,10,11,12,7,18,14.125
AVG_NUM_OTHER_DRAWINGS,0,10,18,11,1,1,0,20,7.625
TOTAL_NUM_OTHER_DRAWINGS,2,5,15,13,11,3,5,21,9.375
STD_NUM_OTHER_DRAWINGS,19,30,39,20,7,16,16,16,20.375
MOST_RECENT_CC_MONTH,3,5,22,0,5,3,1,37,9.5
AMT_RECEIVABLE_PRINCIPAL_MIN,26,29,62,21,17,34,23,119,41.375
AMT_RECEIVABLE_PRINCIPAL_TOTAL,48,35,56,31,19,24,22,23,32.25
AMT_RECEIVABLE_PRINCIPAL_MAX,20,31,60,19,10,18,54,43,31.875
AMT_RECEIVABLE_PRINCIPAL_AVG,60,44,36,35,12,15,41,46,36.125
AMT_RECEIVABLE_MIN,36,74,60,38,32,32,32,64,46.0
AMT_RECEIVABLE_TOTAL,33,28,49,9,18,10,11,29,23.375
AMT_RECEIVABLE_MAX,12,16,22,8,14,18,5,15,13.75
AMT_RECEIVABLE_AVG,5,21,14,11,5,8,9,23,12.0
AMT_TOTAL_RECEIVABLE_MIN,37,58,56,33,14,22,31,20,33.875
